period,vintage,value,label,preliminary
2024-09,2026-09-21,7.4,,
2024-10,2026-09-21,4.5,,
2024-11,2026-09-21,7.2,,
2024-12,2026-09-21,12.0,,
2025-01,2026-09-21,13.1,,
2025-02,2026-09-21,11.0,,
2025-03,2026-09-21,11.1,,
2025-04,2026-09-21,12.6,,
2025-05,2026-09-21,11.8,,
2025-06,2026-09-21,3.9,,
2025-07,2026-09-21,6.6,,
2025-08,2026-09-21,10.9,,
2025-09,2026-09-21,13.1,,
2025-11,2026-09-21,6.4,,
2025-12,2026-09-21,6.6,,
2026-01,2026-09-21,12.9,,
2026-02,2026-09-21,7.4,,
2026-03,2026-09-21,2.1,,
2026-04,2026-09-21,3.8,,
2026-05,2026-09-21,4.2,,
2026-06,2026-09-21,5.9,,
2026-07,2026-09-21,7.9,,
2026-08,2026-09-21,8.7,,
