period,vintage,value,label,preliminary
2018,2026-09-21,2700000000.0,FY2018 (announced 2018-08-16),
2019,2026-09-21,2900000000.0,FY2019 (announced 2019-09-10),
2020,2026-09-21,2200000000.0,FY2020 (announced 2020-08-03),
2021,2026-09-21,4000000000.0,FY2021 (announced 2021-07-21),
2022,2026-09-21,4400000000.0,FY2022 (announced 2022-08-01),
2023,2026-09-21,4100000000.0,FY2023 (announced 2023-09-13),
2024,2026-09-21,2600000000.0,FY2024 (announced 2024-08-14),
2025,2026-09-21,2300000000.0,FY2025 (announced 2025-07-30),
2026,2026-09-21,2000000000.0,FY2026 (announced 2026-07-30),
