period,vintage,value,label,preliminary
2024Q3,2026-09-22,61214755000.0,,
2025Q1,2026-09-22,81711668000.0,,
2025Q2,2026-09-22,84659150000.0,,
2025Q3,2026-09-22,58613761000.0,,
2026Q1,2026-09-22,86884636000.0,,
2026Q2,2026-09-22,85854080000.0,,
