period,vintage,value,label,preliminary
2018,2026-09-21,455.0,FY2018 (announced 2018-08-16),
2019,2026-09-21,399.0,FY2019 (announced 2019-09-10),
2020,2026-09-21,234.0,FY2020 (announced 2020-08-03),
2021,2026-09-21,366.0,FY2021 (announced 2021-07-21),
2022,2026-09-21,412.0,FY2022 (announced 2022-08-01),
2023,2026-09-21,390.0,FY2023 (announced 2023-09-13),
2024,2026-09-21,273.0,FY2024 (announced 2024-08-14),
2025,2026-09-21,245.0,FY2025 (announced 2025-07-30),
2026,2026-09-21,280.0,FY2026 (announced 2026-07-30),
