period,vintage,value,label,preliminary
2024-03,2026-09-21,5.6083,,
2024-04,2026-09-21,6.1917,,
2024-05,2026-09-21,6.7333,,
2024-06,2026-09-21,7.3583,,
2024-07,2026-09-21,8.05,,
2024-08,2026-09-21,8.5417,,
2024-09,2026-09-21,8.6333,,
2024-10,2026-09-21,8.8667,,
2024-11,2026-09-21,9.0667,,
2024-12,2026-09-21,9.7583,,
2025-01,2026-09-21,10.0,,
2025-02,2026-09-21,10.2167,,
2025-03,2026-09-21,10.425,,
2025-04,2026-09-21,10.8333,,
2025-05,2026-09-21,10.9167,,
2025-06,2026-09-21,9.9,,
2025-07,2026-09-21,9.475,,
2025-08,2026-09-21,9.3417,,
2025-09,2026-09-21,9.8167,,
2025-11,2026-09-21,10.2273,,
2025-12,2026-09-21,9.7364,,
2026-01,2026-09-21,9.7182,,
2026-02,2026-09-21,9.3909,,
2026-03,2026-09-21,8.5727,,
2026-04,2026-09-21,7.7727,,
2026-05,2026-09-21,7.0818,,
2026-06,2026-09-21,7.2636,,
2026-07,2026-09-21,7.3818,,
2026-08,2026-09-21,7.1818,,
