period,vintage,value,label,preliminary
2020,2026-09-21,118.0,lineup announced 2019-12-04,
2021,2026-09-21,71.0,lineup announced 2020-12-15,
2022,2026-09-21,82.0,lineup announced 2021-12-09,
2023,2026-09-21,99.0,lineup announced 2022-12-07,
2024,2026-09-21,82.0,lineup announced 2023-12-06,
2025,2026-09-21,88.0,lineup announced 2024-12-11,
2026,2026-09-21,90.0,lineup announced 2025-12-10,
