period,vintage,value,label,preliminary
2024-09,2026-09-21,109.3,,
2024-10,2026-09-21,105.3,,
2024-11,2026-09-21,116.8,,
2024-12,2026-09-21,108.0,,
2025-01,2026-09-21,93.4,,
2025-02,2026-09-21,108.9,,
2025-03,2026-09-21,99.4,,
2025-04,2026-09-21,99.6,,
2025-05,2026-09-21,106.4,,
2025-06,2026-09-21,100.7,,
2025-07,2026-09-21,97.3,,
2025-08,2026-09-21,103.9,,
2025-09,2026-09-21,100.3,,
2025-10,2026-09-21,100.7,,
2025-11,2026-09-21,100.8,,
2025-12,2026-09-21,101.6,,
2026-01,2026-09-21,97.1,,
2026-02,2026-09-21,103.9,,
2026-03,2026-09-21,101.4,,
2026-04,2026-09-21,96.9,,
2026-05,2026-09-21,98.1,,
2026-06,2026-09-21,101.0,,
2026-07,2026-09-21,94.9,,
2026-08,2026-09-21,95.7,,1
